Source,Target,Type,Id,Label,timeset,Weight,source_label,target_label,source modularity,target modularity,,,,,3,0,5,4,1,2,
90,508,Directed,0,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 2.0]>",cloud_computing,robotics,5,5,,,,3,2964,728,1525,528,403,156,
508,517,Directed,1,,<[2012.0]>,"<[2012.0, 3.0]>",robotics,security,5,5,,,,0,585,1886,896,381,304,206,
465,509,Directed,2,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",product_design,saas,0,5,,,,5,1031,760,1843,238,431,163,
351,604,Directed,3,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 3.0]>",livestock,veterinary,2,2,,,,4,549,420,294,621,220,98,
562,629,Directed,4,,<[2010.0]>,"<[2010.0, 2.0]>",sports,web_apps,3,3,,,,1,357,297,482,188,423,100,
188,517,Directed,5,,<[2012.0]>,"<[2012.0, 1.0]>",edtech,security,1,5,,,,2,155,201,165,132,104,256,
127,158,Directed,6,,<[2012.0]>,"<[2012.0, 1.0]>",content,database,3,5,,,,,5641,4292,5205,2088,1885,979,
118,213,Directed,7,,<[2010.0]>,"<[2010.0, 1.0]>",consumer,environmental_consulting,4,0,,,,,,,,,,,
213,236,Directed,8,,<[2010.0]>,"<[2010.0, 1.0]>",environmental_consulting,finance,0,1,,,,,인터넷&모바일,제조,소프트웨어&IT,이커머스&관광,금융,헬스케어,피인수비율
56,363,Directed,9,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 79.0]; [2011.0, 71.0]; [2012.0, 58.0]>",biotechnology,manufacturing,2,0,,,,,3,0,5,4,1,2,
505,517,Directed,10,,"<[2010.0, 2011.0]>","<[2010.0, 5.0]; [2011.0, 4.0]>",rfid,security,5,5,,,인터넷&모바일,3,53%,17%,29%,25%,21%,16%,108%
477,563,Directed,11,,<[2012.0]>,"<[2012.0, 1.0]>",public_relations,staffing_agency,3,1,,,제조,0,10%,44%,17%,18%,16%,21%,82%
293,362,Directed,12,,<[2010.0]>,"<[2010.0, 1.0]>",hospital,management_information_systems,2,5,,,소프트웨어&IT,5,18%,18%,35%,11%,23%,17%,87%
317,507,Directed,13,,<[2011.0]>,"<[2011.0, 2.0]>",innovation_management,risk_management,0,1,,,이커머스&관광,4,10%,10%,6%,30%,12%,10%,48%
378,564,Directed,14,,<[2012.0]>,"<[2012.0, 1.0]>",messaging,stock_exchanges,3,1,,,금융,1,6%,7%,9%,9%,22%,10%,41%
136,374,Directed,15,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",cosmetics,medical,4,2,,,헬스케어,2,3%,5%,3%,6%,6%,26%,23%
357,571,Directed,16,,<[2011.0]>,"<[2011.0, 1.0]>",logistics,technical_support,0,0,,,,,1,1,1,1,1,1,
236,564,Directed,17,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 2.0]; [2012.0, 7.0]>",finance,stock_exchanges,1,1,,,인수비율,,47%,57%,64%,69%,78%,74%,
68,557,Directed,18,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",business_intelligence,software_engineering,5,5,,,,,,,,,,,
56,494,Directed,19,,<[2011.0]>,"<[2011.0, 1.0]>",biotechnology,renewable_energy,2,0,,,,,,,,,,,
144,477,Directed,20,,<[2011.0]>,"<[2011.0, 1.0]>",credit_cards,public_relations,1,3,,,,,,,,,,,
357,400,Directed,21,,<[2011.0]>,"<[2011.0, 2.0]>",logistics,natural_resources,0,0,,,,,,,,,,,
117,491,Directed,22,,<[2011.0]>,"<[2011.0, 1.0]>",consulting,recycling,5,0,,,,,,,,,,,
60,386,Directed,23,,<[2011.0]>,"<[2011.0, 2.0]>",brand_marketing,mobile_advertising,3,3,,,,,,,,,,,
239,451,Directed,24,,<[2011.0]>,"<[2011.0, 2.0]>",fintech,point_of_sale,1,1,,,,,,,,,,,
145,328,Directed,25,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 2.0]>",crm,it_infrastructure,5,5,,,,,,,,,,,
22,602,Directed,26,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 4.0]; [2011.0, 4.0]; [2012.0, 3.0]>",angel_investment,venture_capital,1,1,,,,,,,,,,,
428,435,Directed,27,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 10.0]; [2011.0, 7.0]; [2012.0, 4.0]>",outsourcing,payments,5,1,,,,,,,,,,,
165,261,Directed,28,,<[2010.0]>,"<[2010.0, 1.0]>",developer_apis,gaming,3,3,,,,,,,,,,,
87,279,Directed,29,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 3.0]; [2012.0, 1.0]>",clean_energy,hardware,0,5,,,,,,,,,,,
380,517,Directed,30,,<[2011.0]>,"<[2011.0, 1.0]>",military,security,0,5,,,,,,,,,,,
116,494,Directed,31,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 5.0]; [2011.0, 7.0]; [2012.0, 3.0]>",construction,renewable_energy,0,0,,,,,,,,,,,
174,477,Directed,32,,"<[2010.0, 2011.0]>","<[2010.0, 4.0]; [2011.0, 2.0]>",direct_marketing,public_relations,3,3,,,,,,,,,,,
152,508,Directed,33,,"<[2011.0, 2012.0]>","<[2011.0, 4.0]; [2012.0, 1.0]>",data_center,robotics,5,5,,,,,,,,,,,
173,385,Directed,34,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",digital_signage,mobile,3,3,,,,,,,,,,,
111,557,Directed,35,,"<[2011.0, 2012.0]>","<[2011.0, 3.0]; [2012.0, 1.0]>",computer,software_engineering,5,5,,,,,,,,,,,
32,532,Directed,36,,<[2011.0]>,"<[2011.0, 1.0]>",artificial_intelligence,simulation,5,5,,,,,,,,,,,
20,106,Directed,37,,<[2011.0]>,"<[2011.0, 5.0]>",analytics,commercial_real_estate,5,1,,,,,,,,,,,
280,289,Directed,38,,<[2012.0]>,"<[2012.0, 1.0]>",health_care,home_renovation,2,4,,,,,,,,,,,
32,279,Directed,39,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 5.0]; [2012.0, 3.0]>",artificial_intelligence,hardware,5,5,,,,,,,,,,,
384,385,Directed,40,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",mmo_games,mobile,3,3,,,,,,,,,,,
40,172,Directed,41,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 3.0]>",automotive,digital_media,0,3,,,,,,,,,,,
118,169,Directed,42,,<[2011.0]>,"<[2011.0, 1.0]>",consumer,dietary_supplements,4,2,,,,,,,,,,,
27,40,Directed,43,,<[2011.0]>,"<[2011.0, 1.0]>",apps,automotive,3,0,,,,,,,,,,,
434,488,Directed,44,,<[2012.0]>,"<[2012.0, 2.0]>",parks,recreation,4,4,,,,,,,,,,,
276,389,Directed,45,,<[2011.0]>,"<[2011.0, 1.0]>",group_buying,mobile_payments,4,1,,,,,,,,,,,
60,443,Directed,46,,<[2012.0]>,"<[2012.0, 1.0]>",brand_marketing,pharmaceutical,3,2,,,,,,,,,,,
147,356,Directed,47,,<[2012.0]>,"<[2012.0, 1.0]>",crowdsourcing,location_based_services,4,3,,,,,,,,,,,
46,363,Directed,48,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 2.0]; [2012.0, 3.0]>",banking,manufacturing,1,0,,,,,,,,,,,
52,346,Directed,49,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 8.0]; [2011.0, 3.0]; [2012.0, 2.0]>",bioinformatics,life_science,2,2,,,,,,,,,,,
21,165,Directed,50,,<[2010.0]>,"<[2010.0, 1.0]>",android,developer_apis,3,3,,,,,,,,,,,
270,515,Directed,51,,"<[2011.0, 2012.0]>","<[2011.0, 2.0]; [2012.0, 1.0]>",gps,search_engine,3,3,,,,,,,,,,,
90,341,Directed,52,,<[2012.0]>,"<[2012.0, 1.0]>",cloud_computing,legal,5,5,,,,,,,,,,,
