Id,Label,timeset,modularity_class,time_score_stamp,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
90,cloud_computing,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 45]; [2011.0, 73]; [2012.0, 63]>",26,159,185,4,0.574837,0.643711,0.001508,0.011137
508,robotics,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 16]; [2011.0, 25]; [2012.0, 36]>",113,21,134,4,0.522321,0.574786,0.000442,0.335542
517,security,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 104]; [2011.0, 113]; [2012.0, 127]>",199,38,237,4,0.583784,0.665895,0.003918,0.575017
465,product_design,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 33]; [2011.0, 58]; [2012.0, 56]>",123,42,165,4,0.542373,0.614583,0.001705,0.312899
509,saas,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 51]; [2011.0, 72]; [2012.0, 79]>",182,55,237,4,0.640884,0.73204,0.004858,0.504878
351,livestock,"<[2011.0, 2012.0]>",2,"<[2011.0, 1]; [2012.0, 3]>",8,5,13,4,0.430868,0.454291,0.000001,0.015972
604,veterinary,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 10]; [2011.0, 6]; [2012.0, 7]>",20,1,21,1,1,1,0.000002,0.10048
562,sports,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 24]; [2011.0, 34]; [2012.0, 37]>",113,22,135,5,0.554455,0.66875,0.001212,0.426267
629,web_apps,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 6]; [2011.0, 6]; [2012.0, 2]>",54,3,57,2,0.615385,0.6875,0.000018,0.335594
188,edtech,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 12]; [2011.0, 19]; [2012.0, 15]>",20,47,67,4,0.493714,0.532407,0.000279,0.01776
127,content,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 29]; [2011.0, 36]; [2012.0, 45]>",36,148,184,3,0.581948,0.647619,0.002706,0.022244
158,database,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 14]; [2011.0, 11]; [2012.0, 16]>",29,65,94,4,0.516741,0.557955,0.00041,0.022138
118,consumer,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 56]; [2011.0, 57]; [2012.0, 59]>",41,164,205,4,0.588098,0.658565,0.003546,0.020983
213,environmental_consulting,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 21]; [2011.0, 24]; [2012.0, 22]>",20,47,67,4,0.493888,0.535479,0.00018,0.020472
236,finance,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 141]; [2011.0, 171]; [2012.0, 181]>",101,178,279,3,0.63961,0.72335,0.007555,0.086767
56,biotechnology,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 155]; [2011.0, 162]; [2012.0, 167]>",16,140,156,3,0.565401,0.625622,0.001808,0.00568
363,manufacturing,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 569]; [2011.0, 648]; [2012.0, 704]>",224,162,386,3,0.706349,0.799625,0.027083,0.303952
505,rfid,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 9]; [2011.0, 10]; [2012.0, 4]>",40,9,49,4,0.469828,0.50841,0.000049,0.152459
477,public_relations,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 53]; [2011.0, 55]; [2012.0, 62]>",129,43,172,4,0.548872,0.628995,0.002605,0.335239
563,staffing_agency,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 14]; [2011.0, 20]; [2012.0, 27]>",59,7,66,4,0.490566,0.540064,0.00005,0.273778
293,hospital,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 42]; [2011.0, 32]; [2012.0, 42]>",38,38,76,4,0.513057,0.546657,0.000718,0.050184
362,management_information_systems,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 17]; [2011.0, 13]; [2012.0, 22]>",58,40,98,4,0.516315,0.560409,0.000767,0.126067
317,innovation_management,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 21]; [2011.0, 37]; [2012.0, 37]>",59,65,124,3,0.53886,0.593483,0.001102,0.102472
507,risk_management,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 57]; [2011.0, 81]; [2012.0, 97]>",117,24,141,4,0.536364,0.591102,0.001008,0.368283
378,messaging,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 22]; [2011.0, 25]; [2012.0, 30]>",79,62,141,4,0.55,0.62013,0.00144,0.168299
564,stock_exchanges,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 3]; [2011.0, 5]; [2012.0, 8]>",31,3,34,4,0.417722,0.472222,0.000021,0.171401
136,cosmetics,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 14]; [2011.0, 1]; [2012.0, 10]>",6,24,30,4,0.474019,0.499814,0.000005,0.004851
374,medical,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 151]; [2011.0, 165]; [2012.0, 163]>",117,78,195,3,0.581509,0.655509,0.003056,0.226826
357,logistics,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 66]; [2011.0, 100]; [2012.0, 115]>",110,79,189,3,0.569937,0.637363,0.003907,0.169591
571,technical_support,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 6]; [2011.0, 10]; [2012.0, 4]>",42,5,47,4,0.469565,0.510802,0.00002,0.210566
68,business_intelligence,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 34]; [2011.0, 29]; [2012.0, 43]>",16,142,158,4,0.563025,0.625777,0.000521,0.006991
