Id,Label,timeset,count,modularity_class
92,safety,,479,2
511,security,,1163,2
11,user,,780,0
747,energy,,1023,4
378,sale,,838,0
420,consulting,,1772,1
51,digital,,2577,0
543,operation,,568,1
491,professional,,1200,1
42,providing,,1811,1
600,strategy,,561,5
187,payment,,668,1
69,business,,4894,1
105,control,,550,4
14,data,,2001,1
96,global,,3443,2
88,health,,1322,8
888,identity,,131,2
286,information,,1462,1
1072,integrated,,990,0
89,market,,2701,9
10,mobile,,1666,0
672,network,,1448,0
53,online,,2327,0
40,platform,,3316,0
72,software,,4287,1
320,system,,2238,4
1060,apparel,,151,4
62,brand,,1384,0
70,design,,2075,4
202,equipment,,1129,4
2355,fashion,,244,0
385,manufacture,,1815,4
83,manufacturer,,1864,4
843,sell,,718,4
45,supply,,1004,4
1145,truck,,133,4
188,financial,,1663,1
66,help,,1472,0
756,manages,,248,9
234,medium,,2125,0
176,development,,1800,1
774,investment,,1595,9
48,marketing,,2216,0
743,specializing,,895,9
340,sport,,547,0
453,insight,,367,1
325,intelligence,,579,1
594,care,,1172,8
362,added,,159,4
829,benefit,,455,5
644,fund,,313,9
257,advanced,,474,1
7,application,,1255,1
33,high,,1321,4
288,leader,,1323,2
86,leading,,2651,2
206,world,,1560,2
28,agency,,1667,0
24,communication,,1595,0
54,social,,697,0
231,video,,724,0
59,independent,,1276,9
1567,assurance,,122,4
879,capital,,1007,9
518,client,,1068,1
1004,create,,423,0
118,insurance,,1564,5
1188,offering,,867,1
876,partner,,1214,9
737,private,,1613,9
812,risk,,596,5
1417,strategic,,334,1
109,specializes,,1085,0
125,engineering,,1081,1
1034,europe,,387,2
1165,award,,253,1
113,casualty,,199,5
439,commercial,,1054,5
290,customer,,1825,0
196,estate,,702,5
4,experience,,853,0
214,focused,,1363,9
328,healthcare,,1249,8
1111,home,,938,8
318,innovative,,1171,1
20330,marsh,,28,0
485,people,,720,0
383,performance,,690,4
52,privately,,750,5
61,production,,819,0
115,property,,673,5
195,real,,1088,5
454,research,,712,1
522,specialist,,755,1
1098,united,,639,5
1628,winning,,261,1
1623,equity,,1101,9
5116,income,,88,9
31131,kohlberg,,30,9
31132,kravis,,26,9
6979,robert,,46,9
268,state,,649,5
111,national,,589,5
419,cloud,,1469,1
1511,enables,,520,0
78,enterprise,,1282,1
621,process,,622,1
0,science,,450,5
242,tool,,774,4
164,food,,1246,0
738,practice,,328,8
68,small,,559,1
1,life,,739,5
1077,critical,,286,1
161,delivers,,624,1
581,developer,,704,1
112,electronic,,506,4
1124,hosted,,94,1
1117,infrastructure,,739,1
30,quality,,1199,4
505,support,,894,1
676,work,,430,1
10353,invests,,294,5
544,asia,,180,2
1554,southeast,,45,2
847,bank,,760,5
646,billion,,137,9
228,multi,,501,1
773,portfolio,,444,9
173,testing,,450,13
3345,country,,353,5
1130,automation,,457,1
181,building,,735,4
1921,integration,,274,1
5168,domestic,,118,1
387,holding,,796,5
357,range,,904,1
194,retail,,702,0
1221,serving,,420,2
811,broker,,290,5
818,plan,,200,5
144,resource,,542,1
462,developing,,533,8
993,pharmaceutical,,682,8
988,blue,,144,0
2012,publishes,,127,0
1820,publishing,,305,0
27,commerce,,623,0
185,engagement,,307,0
1837,including,,491,4
2537,lifestyle,,215,0
1343,premium,,323,0
221,producer,,449,2
50,held,,628,5
614,organization,,886,1
280,focus,,728,1
668,distribution,,673,4
800,center,,483,1
2,compliance,,325,1
465,consultancy,,518,1
1323,cost,,294,8
169,delivering,,358,1
157,device,,710,8
227,education,,560,0
752,enabling,,231,0
1202,growth,,475,9
1047,improve,,339,0
1866,legal,,199,1
1670,model,,129,1
943,restaurant,,359,0
250,space,,248,1
596,subsidiary,,288,5
123,worldwide,,648,4
3618,buyout,,107,9
736,therapy,,209,8
767,oriented,,126,9
877,stage,,202,9
878,venture,,262,9
7387,caregiver,,22,8
4839,chronic,,54,8
6724,finding,,34,8
963,patient,,428,8
166,contract,,294,1
4454,certification,,111,13
3411,inspection,,157,13
2135,verification,,78,13
685,civil,,74,1
1359,cleaning,,117,4
8334,clearing,,26,9
171,laboratory,,211,13
3570,liquid,,100,13
9422,compensation,,41,1
489,highly,,267,4
706,division,,117,13
3555,solid,,84,13
642,connected,,158,2
366,rental,,331,4
6247,journey,,41,0
568,success,,120,0
2810,threat,,77,2
2274,cycle,,107,8
520,installation,,229,4
341,tech,,439,4
1982,diagnostic,,143,8
415,diagnostics,,125,8
336,east,,128,13
2426,green,,90,13
1062,domain,,80,1
1106,employment,,80,13
12665,engie,,31,4
31107,vinci,,16,4
60,film,,188,0
1970,epic,,26,0
2212,francisco,,65,9
32446,evoqua,,11,4
2006,traded,,69,5
692,improving,,99,8
1611,generic,,43,8
2140,track,,124,0
8189,publicly,,83,5
3876,intelligent,,182,0
1652,thing,,114,0
22649,licensure,,11,13
4316,litigation,,53,1
8018,marijuana,,32,8
30681,mclennan,,24,0
31463,mednax,,17,8
1981,price,,113,0
136,university,,95,0
3704,recycling,,118,13
32335,verisk,,18,5
91,workplace,,91,2
74,tracking,,118,1
5,write,,10,27
6,story,,81,28
8,read,,24,29
17,spread,,17,30
18,basin,,13,31
20,seismic,,15,32
21,western,,76,33
23,library,,43,34
25,monkey,,6,35
31,able,,20,36
